# date:Sat Dec 04 10:52:09 CET 2021
# maxtrees:1000000.0
# AP mean [mm]:700.0
# AP std [mm]:150.0
# Temp mean [°C]:f(t) = 0.01*t + 10
# Temp std [°C]:2.5
# offspringRate [%]:5.0
Spruce (count),Spruce volume (m^3),Fir (count),Fir volume (m^3),Beech (count),Beech volume (m^3)
1501,6.694541185793631E8,0,2.384185791015625E-7,1746,2.8304430644857273E9
1488,6.722734816130849E8,0,2.384185791015625E-7,1725,2.854385220074063E9
1548,6.696282463051176E8,0,2.384185791015625E-7,1794,2.8753705617567787E9
1622,6.746040738093002E8,0,2.384185791015625E-7,1849,2.8939359360956564E9
1705,6.825302107401967E8,0,2.384185791015625E-7,1902,2.926248971470035E9
1687,6.861791579234047E8,0,2.384185791015625E-7,1877,2.965344349364698E9
1740,6.852843770592517E8,0,2.384185791015625E-7,1950,2.967831245945368E9
1724,6.927247635866022E8,0,2.384185791015625E-7,1928,2.9987048108864923E9
1709,6.961238228701885E8,0,2.384185791015625E-7,1906,3.015139516378581E9
1692,7.034765338714948E8,0,2.384185791015625E-7,1875,2.985533286461497E9
1753,7.07830454589517E8,0,2.384185791015625E-7,1946,2.9919778275363717E9
1735,7.115626313919157E8,0,2.384185791015625E-7,1919,3.025035721650485E9
1717,7.138600440977165E8,0,2.384185791015625E-7,1896,3.0348524023230014E9
1699,7.162068145716686E8,0,2.384185791015625E-7,1867,3.023355642107034E9
1687,7.211966038414392E8,0,2.384185791015625E-7,1847,2.982198447428586E9
