# date:Sat Dec 04 10:45:06 CET 2021
# maxtrees:1000000.0
# AP mean [mm]:700.0
# AP std [mm]:50.0
# Temp mean [°C]:f(t) = 0.01*t + 10
# Temp std [°C]:1.0
# offspringRate [%]:2.0
Spruce (count),Spruce volume (cm^3),Fir (count),Fir volume (cm^3),Beech (count),Beech volume (cm^3)
210,3.634102716484965E8,0,1.632142812013626E-7,235,1.927127222711198E9
208,3.620234686067076E8,0,1.632142812013626E-7,234,1.9371624878992627E9
207,3.634488843718163E8,0,1.632142812013626E-7,233,1.9465909987166317E9
202,3.594964123939536E8,0,1.632142812013626E-7,229,1.921542975175194E9
200,3.5931700951658046E8,0,1.632142812013626E-7,219,1.8837740537471328E9
197,3.56762496224158E8,0,1.632142812013626E-7,218,1.8986688824393559E9
194,3.523134221122111E8,0,1.632142812013626E-7,216,1.8561413708487236E9
193,3.519772261683661E8,0,1.632142812013626E-7,214,1.8599837448707712E9
191,3.519574721581679E8,0,1.632142812013626E-7,210,1.8608894980293794E9
188,3.4884429071485597E8,0,1.632142812013626E-7,204,1.8150365734284146E9
187,3.494782852825432E8,0,1.632142812013626E-7,200,1.7706485759745793E9
186,3.5100796951284325E8,0,1.632142812013626E-7,195,1.766613294561702E9
182,3.427737747001457E8,0,1.632142812013626E-7,194,1.7791979961908314E9
182,3.451030560569164E8,0,1.632142812013626E-7,193,1.7914931679620066E9
178,3.3979318145047265E8,0,1.632142812013626E-7,187,1.7360872787668853E9
177,3.4047059611606264E8,0,1.632142812013626E-7,186,1.753397910290065E9
175,3.4113028278184044E8,0,1.632142812013626E-7,184,1.7692084206050923E9
