Spruce (count),Spruce volume (m^3),Fir (count),Fir volume (m^3),Beech (count),Beech volume (m^3)
2326,1.2021177071323512E9,564,4.2246792166530484E8,5176,1.3669486615138706E10
2349,1.2028097154791148E9,567,4.2280742848959976E8,5227,1.3737178663735537E10
2370,1.21037946777212E9,575,4.2675696618008775E8,5277,1.3836342276537075E10
2389,1.2145067666973014E9,585,4.3074790593318695E8,5328,1.3935794463568335E10
2411,1.2221163317719045E9,592,4.346844604908139E8,5375,1.3972880871256104E10
2434,1.2297242217578814E9,597,4.385834137528171E8,5427,1.4010017085398838E10
2459,1.2373450009157703E9,606,4.4252454704205346E8,5476,1.4078218896741781E10
2483,1.2449625715569365E9,611,4.464025441749783E8,5532,1.4147091774486296E10
2506,1.2525514042898173E9,617,4.5030433277214366E8,5589,1.4246863172327642E10
2530,1.2565780097771456E9,622,4.5417957495215195E8,5643,1.425364388945995E10
2561,1.2642158875292797E9,628,4.580511609801299E8,5693,1.4353213464275784E10
2586,1.2718022564818091E9,635,4.5837027738383746E8,5748,1.4453381268307507E10
2605,1.2757834816010466E9,646,4.6228084696006954E8,5804,1.4522143825027613E10
2629,1.283315708494252E9,655,4.6615047541693234E8,5862,1.4621803919990267E10
2655,1.290872045231606E9,661,4.66423625823319E8,5916,1.469040569765595E10
2653,1.2980900836550267E9,661,4.7014782106381345E8,5915,1.475815421177025E10
2688,1.305690201850764E9,666,4.739332627843949E8,5967,1.4857174824185827E10
2889,1.5137183912854457E9,725,6.018816451906987E8,6482,1.926057827582277E10
2889,1.51597681607916E9,725,6.028576353942797E8,6482,1.93104231765611E10
2889,1.519123665779525E9,725,6.04230367296412E8,6489,1.9394106310807343E10
2889,1.5222743862013302E9,725,6.055904822453562E8,6489,1.9477991596503452E10
2890,1.5223167588305786E9,726,6.056174183076859E8,6494,1.947887884390542E10
2890,1.5254544001184156E9,726,6.069677538463247E8,6494,1.9562798157379845E10
2890,1.5254856926992795E9,726,6.069811588739225E8,6494,1.9563636093916454E10
2891,1.5286321391725047E9,726,6.083221754020715E8,6500,1.9647759218803123E10
2891,1.5317750838227835E9,726,6.096572083257163E8,6500,1.9732094610242428E10
2891,1.5349144219924698E9,726,6.109819509050245E8,6500,1.981651167109859E10
2891,1.5380477840875406E9,726,6.122958530610695E8,6499,1.988423004025336E10
2891,1.5380480954427435E9,726,6.122959830215398E8,6499,1.988423843131177E10
2891,1.5383374252506473E9,726,6.124157406745217E8,6499,1.9890742005631004E10
2891,1.541464110886449E9,725,6.102977394080292E8,6499,1.996458686991131E10
2891,1.5414952925209298E9,725,6.103106342382202E8,6499,1.9965426710395336E10
2891,1.543602022000296E9,725,6.111805661250662E8,6499,2.0022224627672256E10
2891,1.5436331466422663E9,724,6.076275251655601E8,6499,2.0023064100526478E10
2893,1.545811250568196E9,724,6.085000668288757E8,6505,2.0071646511038708E10
2893,1.5489394050913153E9,723,6.087268872121335E8,6504,2.014683264347497E10
2893,1.5489704644116755E9,723,6.087390547199316E8,6504,2.0147671352735817E10
2893,1.552076443161535E9,723,6.099535168756632E8,6504,2.023166027000933E10
2893,1.5551849024576719E9,723,6.111545457003839E8,6504,2.0315850745648098E10
2892,1.554755204034247E9,723,6.113879210891131E8,6503,2.030908904858321E10
2892,1.5547857586408217E9,723,6.113996556259767E8,6503,2.0309923325516064E10
2892,1.5578617276222053E9,723,6.125728132197801E8,6503,2.0393791757354347E10
2892,1.5609381831350954E9,723,6.137391159468176E8,6503,2.0477746082014652E10
2892,1.5636651123242166E9,722,6.118485742964602E8,6501,2.0537264381618553E10
2892,1.5636955071502547E9,722,6.11859826939753E8,6500,2.0532742347314705E10
2892,1.5637258677397149E9,721,6.082946276145065E8,6500,2.053357251689984E10
2892,1.5667740959151602E9,721,6.094133880764874E8,6500,2.061684389861416E10
2892,1.5668044746798074E9,721,6.094244562123234E8,6500,2.061767478604956E10
2892,1.5676133245942175E9,721,6.09718997168314E8,6500,2.063980937902609E10
2891,1.5669756582337523E9,721,6.097300003748721E8,6499,2.062775632247286E10
2891,1.567005804019306E9,719,6.031607365489452E8,6497,2.062324820733775E10
2891,1.5670318755252566E9,719,6.031699688049761E8,6495,2.058997498154001E10
2891,1.5670620988521857E9,719,6.031808276692569E8,6489,2.0538584876950024E10
2889,1.5632987011298738E9,718,6.016290771427135E8,6484,2.0489661798157795E10
2888,1.5620075716935508E9,718,6.016394204967253E8,6475,2.0377045492429256E10
2888,1.562037543012157E9,718,6.016499138900338E8,6472,2.032733072019076E10
